Name,Alpha,Beta,Purpose,Guide,Used for,
Ahtanum,6.0,5.75,1,6,"American Amber,American Pale Ale,Brown Ale,India Pale Ale,Porter,Stout",
Amarillo,9.5,6.5,1,5,"American Amber,American Pale Ale,India Pale Ale,Porter,Stout",
Australian Ella,15.0,5.75,1,2,"American Lager,European Pale Lager",
Australian Galaxy,13.5,5.95,1,2,"American Amber,American Pale Ale",
Australian Pride Of Ringwood,9.6,5.7,2,9,"American Amber,American Pale Ale,Barleywine,Imperial Stout,English Bitter,English Pale Ale,India Pale Ale,Porter,Stout",
Australian Summer,6.0,5.45,3,2,"American Amber,American Pale Ale",
Australian Super Pride,14.4,7,2,7,"American Amber,American Pale Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale",
Australian Topaz,15.7,3.8,3,2,"American Amber,American Pale Ale",
Bitter Gold,17.1,7.05,3,5,"Ale, Lager, Pilsner, Bitter, India Pale Ale",
Bravo,15.5,4,2,3,"American Amber,American Pale Ale,India Pale Ale",
Brewer's Gold,9.0,4,2,11,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
Bullion,9.8,6.4,2,1,India Pale Ale,
Cascade,5.8,5.75,1,7,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,Porter,Stout",
Cashmere,8.4,6.75,3,6,"American Pale Ale, IPAs, NEIPAs, Saisons, Ale, Lager",
Centennial,10.5,4,3,9,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Chinook,13.0,3.5,3,10,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Citra®,12.0,4,1,5,"American Amber,American Pale Ale,India Pale Ale,Porter,Stout",
Cluster,7.0,5,3,10,"American Amber,American Pale Ale,American Lager,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Columbia,9.2,4.25,1,1,American Lager,
Columbus,15.0,4.5,2,9,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,India Pale Ale,Porter,Stout,Wheat Beer",
Comet,10.0,5.05,2,1,Wheat Beer,
Crystal,4.5,5.6,1,2,"European Dark Lager,European Pale Lager",
Czech Premiant,9.0,4.75,1,1,European Pale Lager,
Czech Saaz,3.5,7.5,1,14,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Czech Sladek,7.0,9.5,1,7,"American Lager,Bock,European Dark Lager,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Equinox™,15.0,4.85,1,1,Wheat Beer,
Eroica,11.1,4.15,2,1,Wheat Beer,
EXP - HBC 291,12.2,5.6,3,1,Wheat Beer,
Falconer's Flight® 7C’s,9.8,4.9,1,5,"IPA, NEIPA, pale ale, ale, lager",
French Aramis,8.1,4.15,1,8,"Pilsner, Lager, Wheat, Saison, India Pale Ale, Belgian Ales, Pale Ale, Porter",
French Strisselpalt,2.2,4.5,1,14,"American Lager,Belgian Ale,French Ale,Belgian Lambic Ale,Sour Ale,Belgian Strong Ale,Bock,European Dark Lager,European Pale Lager,Fruit Beer,German Amber Lager,Kölsch,Altbier,Wheat Beer",
Fuggle,4.8,1.75,1,11,"Barleywine,Imperial Stout,Brown Ale,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Scottish Ale,Stout",
Galena,13.0,8,2,10,"American Amber,American Pale Ale,Barleywine,Imperial Stout,Brown Ale,English Bitter,English Pale Ale,India Pale Ale,Porter,Stout",
German Brewer's Gold,7.0,3,2,8,"Bock,English Strong Ale,Scottish Strong Ale,English Bitter,English Pale Ale,European Dark Lager,India Pale Ale,Porter",
German Hallertau Blanc,10.5,5,1,1,India Pale Ale,
